source_number,destination_number,is_carting,is_ftl,start_hour,osrm_time,osrm_distance,actual_distance,actual_time,real_actual_time_factor,data
2,85,1,0,15,-0.3961,-0.369,-0.3604,-0.4442,2.0,training
2,85,1,0,16,-0.3991,-0.3726,-0.3637,-0.441,2.1195,training
2,85,1,0,18,-0.3948,-0.3707,-0.3622,-0.4553,1.7897,training
2,85,1,0,19,-0.3895,-0.3684,-0.3626,-0.4385,1.9829,training
2,85,1,0,21,-0.3908,-0.3686,-0.3591,-0.4392,2.0,training
2,85,1,0,23,-0.3919,-0.369,-0.3618,-0.3919,2.7507,training
2,92,0,1,1,6.7559,6.9472,7.1376,6.8757,2.1266,training
2,92,0,1,3,6.7612,6.9482,7.1394,6.9149,2.1363,training
2,92,0,1,21,6.7559,6.9464,7.1373,6.8378,2.1158,training
2,102,0,1,3,4.7786,4.768,4.7356,4.8428,2.1223,training
2,102,0,1,4,4.7868,4.7719,4.7372,4.7953,2.1003,training
2,102,0,1,5,4.7904,4.7734,4.7376,4.8422,2.1173,training
2,104,1,0,1,-0.4013,-0.3847,-0.3852,-0.3583,3.6472,training
2,104,1,0,2,-0.4083,-0.388,-0.3862,-0.4434,2.2553,training
2,104,1,0,3,-0.4066,-0.3882,-0.3864,-0.4493,2.1,training
2,104,1,0,4,-0.4224,-0.397,-0.3926,-0.4291,2.9412,training
2,104,1,0,5,-0.4066,-0.3876,-0.3859,-0.3844,3.3795,training
2,104,1,0,6,-0.4171,-0.4004,-0.3901,-0.4417,2.5,training
2,104,1,0,9,-0.4066,-0.3879,-0.3877,-0.3886,3.3,training
2,104,1,0,12,-0.4031,-0.3859,-0.3858,-0.1492,7.8628,training
2,104,1,0,13,-0.4119,-0.3899,-0.3877,-0.3532,4.2105,training
2,104,1,0,16,-0.4066,-0.388,-0.3869,-0.4442,2.2,training
2,104,1,0,17,-0.4013,-0.3834,-0.3842,-0.4619,1.7619,training
2,104,1,0,18,-0.4086,-0.3914,-0.3874,-0.43,2.5133,training
2,104,1,0,20,-0.4066,-0.3883,-0.3864,-0.4139,2.8,training
2,104,1,0,21,-0.3987,-0.3839,-0.3861,-0.4177,2.5163,training
2,109,0,1,10,2.4187,2.51,2.3731,2.2056,1.9597,training
2,109,0,1,11,2.4174,2.5139,2.3729,2.2536,1.9948,training
2,109,0,1,12,2.4191,2.5133,2.3739,2.3228,2.0425,training
