hub_name,hub_number,bottleneck_score,delay_ratio,delay_hours,sla_breach,sla_breach_contribution,betweenness_centrality,closeness_centrality,degree_centrality
Anand_VUNagar_DC (Gujarat),0,0.054602,1.250607427976397,0.0338,0.0,0.001574582034652544,0.00041639974375400383,0.1004685003007058,0.0012812299807815502
Khambhat_MotvdDPP_D (Gujarat),1,0.048812,1.3715545755237044,0.0,0.0,0.0,0.0004053121766126251,0.0870453150191686,0.0012812299807815502
Bhiwandi_Mankoli_HB (Maharashtra),2,0.531804,1.306768558951965,60.3801,1.0,0.026488382985308784,0.0563653381456319,0.1575125485621328,0.03459320948110185
LowerParel_CP (Maharashtra),3,0.122873,0.939175892981375,0.5686000000000001,0.0,0.49337990742016646,0.0008208906190968972,0.10941272852707831,0.0025624599615631004
Bangalore_Nelmngla_H (Karnataka),4,0.597632,1.2800306044376435,26.8166,1.0,1.2492584790077934,0.12243110978804927,0.16507693308537674,0.04548366431774503
Bengaluru_Bomsndra_HB (Karnataka),5,0.170914,0.9729166253003196,9.2421,0.0,0.35582758867109654,0.0025850613903144336,0.13343663131325037,0.016015374759769378
Ludhiana_GillChwk_DC (Punjab),6,0.012434,0.977522306108442,0.0,0.0,0.04660855993106127,0.0,0.0,0.0012812299807815502
Jagraon_DC (Punjab),7,0.03209,0.9692146193067398,0.036099999999999965,0.0,0.10484480257955668,4.106506348658815e-07,0.0006406149903907751,0.0019218449711723253
Raikot_DC (Punjab),8,0.012162,0.9526853122855181,0.0,0.0,0.015750478873255182,0.0,0.0008541533205210334,0.0012812299807815502
Junagadh_DPC (Gujarat),9,0.071047,1.493104680242944,0.5517000000000001,0.0,0.0,4.558222047011285e-05,0.0027954108671597463,0.004484304932735426
Veraval_DC (Gujarat),10,0.079917,0.9267595569846373,0.11649999999999999,0.0,0.7544670379885152,1.847927856896467e-05,0.002975759955363601,0.0019218449711723253
Kodinar_NCplxDPP_D (Gujarat),11,0.063985,0.8389806378132119,0.11649999999999999,0.0,0.06164162568793629,1.847927856896467e-05,0.0023653476568274777,0.0012812299807815502
Una_Mamlatdr_DC (Gujarat),12,0.06233,0.9653925253528118,0.0,0.0,0.0,1.847927856896467e-05,0.0019627352897079067,0.0012812299807815502
Talala_SsnRdDPP_D (Gujarat),13,0.063902,0.9270973689809233,0.0,0.0,0.08255375217774477,1.847927856896467e-05,0.0016772465202958477,0.0012812299807815502
Sonipat_Kundli_H (Haryana),14,0.271931,1.2318049490538574,19.472,0.0,0.4305456988894165,0.0447834267661302,0.14985866904526254,0.02370275464445868
