,source_number,destination_number,osrm_time,osrm_distance
0,0,1,42.833333333333336,52.32925
1,1,504,46.375,54.2579875
2,2,4,709.6666666666666,969.3302238095239
3,2,14,1038.25,1427.4236250000001
4,2,26,553.0,768.3529222222222
5,2,30,968.3478260869565,1322.6351739130434
6,2,31,357.85714285714283,492.60782857142857
7,2,32,189.16666666666666,253.58781666666667
8,2,57,97.26388888888889,130.5583
9,2,58,309.57142857142856,411.7101857142857
10,2,69,1140.0,1589.5032
11,2,85,22.303030303030305,27.21939090909091
12,2,92,1382.5,1933.5276749999998
13,2,102,1007.6428571428571,1366.8071428571427
14,2,104,20.03030303030303,22.487348484848486
15,2,109,557.4705882352941,778.2145352941177
16,2,225,391.7692307692308,550.2630461538462
17,2,264,24.431372549019606,27.966382352941174
18,2,326,28.05128205128205,32.70571794871795
19,2,421,20.214285714285715,22.394614285714287
20,2,564,31.275862068965516,42.27953448275862
21,2,643,31.4375,42.43915
22,2,760,30.833333333333332,42.56928333333333
23,2,872,97.85714285714286,137.27557857142855
24,2,897,25.75,28.957425
25,2,950,66.9090909090909,89.3195
26,2,1122,27.727272727272727,32.46602272727273
27,2,1335,22.133333333333333,27.260613333333332
28,2,1336,22.047619047619047,27.14962380952381
29,3,85,14.818181818181818,16.5965
30,3,263,17.88235294117647,19.881135294117648
31,4,2,727.7142857142857,977.0102142857143
32,4,5,51.24,50.912222
33,4,17,242.44444444444446,319.9348
34,4,21,1365.857142857143,1853.6415285714286
35,4,26,1031.4285714285713,1394.0194
36,4,30,1527.8,2073.004734285714
37,4,32,865.0,1188.1769
38,4,39,39.54545454545455,35.263754545454546
39,4,55,426.5,483.7976
40,4,57,630.5,851.2323625
41,4,90,31.333333333333332,32.840604761904764
42,4,91,48.19,38.099450000000004
43,4,92,1370.0,1851.4030666666667
44,4,93,1046.9166666666667,1413.96295
45,4,109,426.0,544.46635
46,4,112,26.952380952380953,24.661047619047622
47,4,127,16.0,13.659246153846153
48,4,152,132.9375,166.08385
49,4,171,287.0,387.387
50,4,222,285.6666666666667,346.2008666666666
51,4,227,437.5,598.3385916666667
52,4,241,27.75,25.24385625
53,4,266,190.0,248.9406
54,4,282,56.666666666666664,60.0096
55,4,299,39.46153846153846,42.00531025641026
