data,source_number,destination_number,is_carting,is_ftl,day_of_week,start_hour,is_day,is_night,is_cutoff,osrm_time,osrm_distance,actual_distance,actual_time,real_actual_time_factor
training,65,61,0,1,3,7,0,1,0,75.0,106.876,75.10427595323758,170.0,2.2666666666666666
training,69,70,0,1,1,15,1,0,0,32.0,44.1297,33.03651895752529,69.0,2.15625
training,70,71,0,1,1,19,1,0,0,37.0,48.9721,43.49001844833964,72.0,1.945945945945946
training,71,72,0,1,2,0,0,1,0,41.0,58.1837,51.38393641807761,90.0,2.1951219512195124
training,72,30,0,1,2,3,0,1,0,776.0,1057.5841,962.3815145849802,1476.0,1.902061855670103
training,22,73,0,1,4,19,1,0,0,43.0,55.3038,44.82031810937814,78.0,1.813953488372093
training,73,74,0,1,4,22,0,1,0,55.0,76.0771,63.85677838793305,126.0,2.290909090909091
training,74,1230,0,1,5,2,0,1,0,76.0,107.6533,69.68395884878763,130.0,1.7105263157894737
training,75,76,0,1,5,10,1,0,0,69.0,79.7179,50.32326567205136,105.0,1.5217391304347827
training,76,77,0,1,5,12,1,0,0,55.0,59.4611,55.0428940420023,84.0,1.5272727272727271
training,77,22,0,1,5,14,1,0,0,34.0,39.259800000000006,21.829690979464363,50.0,1.4705882352941178
training,78,79,0,1,4,2,0,1,0,28.0,36.7768,33.57876869010104,76.0,2.7142857142857144
training,79,80,0,1,4,4,0,1,0,44.0,43.5222,39.27419249880678,43.0,0.9772727272727272
training,80,81,0,1,4,5,0,1,0,25.0,25.7175,20.40616744869052,37.0,1.48
training,81,78,0,1,4,6,0,1,0,89.0,123.9189,93.8656838470174,145.0,1.6292134831460674
training,82,528,0,1,3,1,0,1,0,85.0,104.0805,51.4772870991803,132.0,1.5529411764705885
training,83,84,0,1,4,23,0,1,0,31.0,39.2289,35.849220850665446,55.0,1.7741935483870968
training,84,734,0,1,5,1,0,1,0,36.0,50.8499,24.54959716646038,55.0,1.5277777777777777
training,85,2,1,0,1,19,1,0,0,25.0,28.3455,21.264405998836523,39.0,1.56
training,86,1483,1,0,4,7,0,1,0,23.0,25.477,19.40170123993052,42.0,1.826086956521739
training,88,89,1,0,3,2,0,1,0,33.0,33.7125,25.784817603280587,52.0,1.5757575757575757
training,89,1484,1,0,3,3,0,1,0,34.0,39.063300000000005,31.678955676898624,67.0,1.9705882352941175
training,85,2,1,0,2,8,1,0,0,25.0,29.1657,22.35010785204601,162.0,6.48
training,85,104,1,0,1,6,0,1,0,19.0,21.9204,14.038059511312772,62.0,3.263157894736842
training,90,5,1,0,4,6,0,1,0,19.0,21.1955,14.741639891545152,105.0,5.526315789473684
training,17,4,0,1,0,17,1,0,0,249.0,321.8229,267.3906934228345,492.0,1.9759036144578312
training,4,57,0,1,1,7,0,1,0,629.0,850.1598,731.2573575985485,971.0,1.5437201907790143
training,57,2,0,1,2,2,0,1,0,100.0,128.4542,99.97906105626856,184.0,1.84
training,91,900,1,0,5,23,0,1,0,37.0,36.1692,31.05151145378296,66.0,1.7837837837837838
training,92,93,0,1,0,21,0,1,0,313.0,435.9157,366.65092082551433,584.0,1.865814696485623
training,93,66,0,1,1,9,1,0,0,330.0,453.0498,401.98939828186224,521.0,1.5787878787878789
training,66,109,0,1,1,21,0,1,0,434.0,603.3198000000001,511.1621123117752,870.0,2.0046082949308754
training,5,241,1,0,4,20,0,1,0,31.0,31.6255,24.297630002675188,43.0,1.3870967741935485
training,99,100,1,0,3,21,0,1,0,39.0,53.638,39.64653553230573,182.0,4.666666666666667
training,100,101,1,0,4,1,0,1,0,37.0,44.8723,15.55631379736298,30.0,0.8108108108108109
training,101,1349,1,0,4,2,0,1,0,16.0,18.0331,13.74324486098456,26.0,1.625
