source_number,destination_number,is_carting,is_ftl,start_hour,osrm_time,osrm_distance,actual_distance,actual_time,real_actual_time_factor,data
0,1,1,0,2,42.6,51.951480000000004,38.54845170020052,69.2,1.6207188160676533,training
0,1,1,0,3,44.0,54.2181,39.38604027413606,68.0,1.5454545454545454,training
1,504,1,0,4,46.375,54.2579875,44.48841647766984,80.625,1.7455272707444929,training
2,4,0,1,0,709.5,969.11895,830.1157311386839,1351.5,1.9048789209161883,training
2,4,0,1,1,709.0,968.68305,829.8565796583529,1332.5,1.8794076163610722,training
2,4,0,1,2,709.6666666666666,969.2189333333332,830.0214566430938,1414.5,1.993145856931542,training
2,4,0,1,8,708.5,968.62435,829.2143261017302,1342.0,1.8943247830556285,training
2,4,0,1,10,702.0,964.5467,831.4235899292194,1290.0,1.8376068376068373,training
2,4,0,1,19,711.25,970.3365,830.1883482108183,1242.75,1.7474039634871081,training
2,4,0,1,20,710.0,969.92175,829.7950674990756,1307.0,1.8406642346047106,training
2,4,0,1,22,713.0,971.53,830.1940580753663,1296.0,1.817671809256662,training
2,4,0,1,23,711.0,970.5022,830.0006524541034,1228.0,1.7271448663853728,training
2,14,0,1,0,1038.0,1427.3543,1148.6655978982049,1995.5,1.9224470134874756,training
2,14,0,1,1,1039.0,1427.9965,1147.9751034744536,1972.0,1.8979788257940329,training
2,14,0,1,19,1037.0,1426.8257,1148.929248129724,1945.0,1.875602700096432,training
2,14,0,1,20,1038.0,1427.2463666666665,1148.749155149703,1977.6666666666667,1.9053138102128955,training
2,14,0,1,21,1037.0,1426.8017,1148.9567081848515,2046.0,1.9729990356798457,training
2,14,0,1,23,1039.0,1427.7529749999999,1148.5173546920632,2034.25,1.9579039758411145,training
2,26,0,1,0,553.0,768.5335,644.9761556523313,1209.0,2.18625678119349,training
2,26,0,1,16,553.0,768.0694,644.7311071010168,1183.0,2.1392405063291138,training
2,26,0,1,22,553.2,768.44332,644.9309525820006,1224.6,2.213685770428447,training
2,26,0,1,23,552.5,768.1784,644.7616165741865,1231.5,2.2289701103336217,training
2,30,0,1,0,968.0,1322.5268999999998,1078.198021769128,2090.0,2.159090909090909,training
2,30,0,1,1,968.0,1322.56875,1078.1496710814201,1901.5,1.964359504132231,training
2,30,0,1,2,968.3333333333334,1322.5577222222223,1078.249390031714,1885.5555555555557,1.9471690590111643,training
2,30,0,1,9,968.0,1322.53225,1078.2016896687096,1958.5,2.0232438016528924,training
2,30,0,1,10,968.6666666666666,1322.7686166666665,1078.2728706323985,2050.6666666666665,2.1169430727198812,training
2,30,0,1,11,968.3333333333334,1322.7496333333331,1078.2237102559336,2039.3333333333333,2.10604994498887,training
2,31,0,1,9,359.0,493.3645,410.8907580304253,835.0,2.3259052924791086,training
2,31,0,1,10,357.0,491.8995,409.9917113489129,723.0,2.0253521126760563,training
2,31,0,1,13,358.0,492.355,410.0425903332558,872.5,2.4383363373204436,training
2,31,0,1,15,358.0,492.2781,410.19214559768665,668.0,1.865921787709497,training
